Ticker,P/E,P/B,P/S,PEG,Dividend,Debt/Eq
DLB,45.34,3.51,6.46,2.83,1.29%,0.00
ROKU,-,2.97,2.55,-,-,0.03
FFIV,24.91,3.13,2.87,2.65,-,0.00
ICL,3.70,1.46,0.80,0.95,-,-
BBWI,10.25,-,1.05,1.41,2.28%,-
BVN,14.49,0.60,2.42,0.79,1.03%,0.25
EBC,9.67,0.76,3.29,-,3.43%,0.00
NPO,307.07,1.41,1.81,60.21,1.23%,0.57
TIXT,21.54,2.12,0.59,2.34,-,0.52
SNEX,8.46,1.65,0.03,0.45,-,5.38
ACLX,-,9.16,-,-,-,0.26
INSW,5.13,1.31,2.29,-,1.21%,0.72
RIOT,-,1.62,7.63,-,-,0.00
AI,-,2.08,7.40,-,-,0.00
VIAV,26.99,2.95,1.58,1.80,-,1.02
AGYS,188.96,17.23,10.29,3779.18,-,0.00
PAYO,-,3.57,3.14,-,-,0.03
DOOR,9.74,2.78,0.68,1.13,-,1.18
SMR,-,5.48,167.08,-,-,0.00
NUS,19.00,2.09,0.89,2.79,3.95%,0.45
VGR,12.68,-,1.37,0.68,6.28%,-
FULT,7.10,0.84,2.00,0.89,5.03%,0.23
ULCC,-,4.06,0.59,-,-,0.84
HLIO,19.91,2.46,2.21,4.98,0.60%,0.56
SHO,27.87,1.12,2.14,1.40,2.10%,0.45
LIFW,-,10.34,72.00,-,-,1.65
FFBC,7.95,0.95,2.87,0.80,4.44%,0.17
FROG,-,2.99,6.96,-,-,0.00
LESL,14.02,-,1.24,1.45,-,-
NUVL,-,4.10,-,-,-,0.00
TROX,4.30,0.90,0.61,0.30,3.65%,1.08
CRCT,33.20,2.98,2.19,-,-,0.00
AG,-,1.36,3.10,-,-,-
EGO,-,0.63,2.22,-,-,0.16
TWKS,-,2.52,1.49,-,-,0.51
MXL,19.35,2.61,1.75,-,-,0.00
CPE,1.70,0.66,0.60,0.07,-,0.73
SLVM,6.06,2.93,0.53,0.14,2.18%,1.52
